product_image,product_name,product_price,product_discount
//images.samsung.com/is/image/samsung/p6pim/in/sm-g990ezaiinu/gallery/in-galaxy-s21-fe-g990-sm-g990ezaiinu-530606583?$PD_GALLERY_L_JPG$,Galaxy S21 FE 5G (128 GB),₹ 549,27% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-g781bzggins/gallery/in-galaxy-s20-fe-5g-g781-sm-g781bzggins-405304988?$PD_GALLERY_L_JPG$,Galaxy S20 FE 5G,₹ 39,47% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-m526blbiinu/gallery/in-galaxy-m52-5g-m526-404058-sm-m526blbiinu-514948282?$2052_1641_PNG$,Galaxy M52 5G (8GB RAM),₹ 269,27% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-m325flbcins/gallery/in-galaxy-m32-6gb-ram-sm-m325flbcins-462257076?$2052_1641_PNG$,Galaxy M32 (6GB RAM),₹ 169,11% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-e225flbdins/gallery/in-galaxy-f-sm-e225flbdins-sm-e---flbhins-470145911?$2052_1641_PNG$,Galaxy F22 (4GB RAM),₹ 129,13% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-e426bzagins/gallery/in-galaxy-f42-5g-6gb-ram-sm-e426bzagins-514465331?$2052_1641_PNG$,Galaxy F42 5G (6GB RAM),₹ 209,13% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-f127glbgins/gallery/in-galaxy-f12-4gb-ram-sm-f127glbgins-419015707?$684_547_PNG$,Galaxy F12 (4/64),₹ 104,19% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-m127gzbgins/gallery/in-galaxy-m12-m127-sm-m127gzbgins-405433733?$2052_1641_PNG$,Galaxy M12 (4/64),₹ 104,19% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/samsung-offer-rush/the-serif-ls01takxxl.jpg?$PD_GALLERY_L_SHOP_JPG$,"The Frame QLED 4K TV (43"") 43LS03AAK",₹ 589,34% Off
//images.samsung.com/is/image/samsung/assets/in/offer/online/mega-monsoon-delights/aue60aklxl.jpg?$PD_GALLERY_L_SHOP_JPG$,"Crystal 4K UHD Smart TV (43"") 43AUE60",₹ 369,30% Off
//images.samsung.com/is/image/samsung/p6pim/in/ww80t504dab-tl/gallery/in-front-loading-washer-ww10t534daws1-374541-ww80t504dab-tl-383418964?$684_547_PNG$,"Front Load with AI Control &amp SmartThings Connectivity (8.0kg) WW80T504DAB
                        ",₹ 406,11% Off
//images.samsung.com/is/image/samsung/in-324-litre-refrigerator-one-door-rt34m5538s8-rt34m5538s8-hl-frontsilver-117002900?$684_547_PNG$,"
                          Top Mount Freezer with Twin Cooling Plus™ (324L) RT34M5538S8
                        ",₹ 301,24% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-g990ezaiinu/gallery/in-galaxy-s21-fe-g990-sm-g990ezaiinu-530606583?$PD_GALLERY_L_JPG$,Galaxy S21 FE 5G (128 GB),₹ 549,27% Off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-watch4-398887-sm-r875fzsainu-481111556?$2052_1641_PNG$,Galaxy Watch4 LTE (44mm),₹ 319,9% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-x205nzaainu/gallery/in-galaxy-a8-sm-x205-sm-x205nzaainu-530636023?$684_547_PNG$,Galaxy Tab A8 (LTE),₹ 219,17% OFF
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-buds2-r177-sm-r177nzkainu-481740606?$2052_1641_PNG$,Galaxy Buds2,₹ 119,14% off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-z-fold3-f926-5g-sm-f926bzkdinu-474118709?$PD_GALLERY_L_JPG$,Galaxy Z Fold3 5G,₹ 1499,13% Off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-z-flip3-f711-5g-sm-f711bzeainu-474119000?$PD_GALLERY_L_JPG$,Galaxy Z Flip3 5G,₹ 849,11% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-g990ezaiinu/gallery/in-galaxy-s21-fe-g990-sm-g990ezaiinu-530606583?$PD_GALLERY_L_JPG$,Galaxy S21 FE 5G (128 GB),₹ 549,27% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-g991bzadinu/gallery/in-galaxy-s21-5g-g991-371114-sm-g991bzadinu-410189271?$PD_GALLERY_L_JPG$,Galaxy S21 5G,₹ 649,23% Off
